#{"t_start": 1719614991.6370544, "env_id": "CTFENVMA_sb3"}
r,l,t,c,f,p,a
-1.0,310,690.380342,0,20.398531,2.461838,286_0_0_8_9_3_2_2_0_0_0_0_0_0_
-1.0,310,695.963376,0,9.281682,2.000977,285_0_0_10_12_2_1_0_0_0_0_0_0_0_
-1.0,267,699.179631,0,16.973398,2.576564,246_0_0_8_9_2_2_0_0_0_0_0_0_0_
-1.0,294,702.852473,0,9.284393,2.113032,270_0_0_10_11_2_1_0_0_0_0_0_0_0_
-1.0,291,706.355276,0,11.892122,2.345541,268_0_0_9_10_3_1_0_0_0_0_0_0_0_
-1.0,298,709.982566,0,9.294356,2.121461,274_0_0_10_11_2_1_0_0_0_0_0_0_0_
0.0,671,718.397216,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,725.643423,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,732.781354,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,739.901042,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,747.151099,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,754.308468,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,761.491556,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,768.52223,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,775.461221,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
0.0,671,782.601363,0,257.579712,2.000977,651_0_0_10_10_0_0_0_0_0_0_0_0_0_
-1.0,325,786.544638,0,9.281682,2.000977,300_0_0_10_12_2_1_0_0_0_0_0_0_0_
-1.0,314,790.397875,0,6.686628,1.884679,289_0_0_11_12_1_1_0_0_0_0_0_0_0_
